last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Adrianza, Ehire,501303,66,16,33.3,103.1,85.9,89.7,81.6,401,185,,16,8.5,24.2,2,3.0,2.0
Mullins, Cedric,656775,107,15.9,23.4,110.2,88.6,92.5,87.4,427,146,402,34,11.8,31.8,3,2.8,2.0
White, Eli,642201,33,15.4,33.3,103.5,88.1,90.6,88.7,372,168,,11,10.7,33.3,1,3.0,1.9
Benintendi, Andrew,643217,23,8.6,13.0,103.4,85.2,87.3,83.4,400,137,,6,5.9,26.1,1,4.3,1.9
Estrada, Thairo,642731,29,2.9,24.1,104.7,83.5,88.4,83.3,411,125,411,8,6.7,27.6,1,3.4,1.9
Molina, Yadier,425877,126,12.3,38.9,104.2,84.7,90.2,81.8,413,165,385,32,10.5,25.4,3,2.4,1.9
McNeil, Jeff,643446,162,11.5,37.0,106.2,86.6,90.3,84.1,401,166,392,43,9.4,26.5,4,2.5,1.9
Haggerty, Sam,664059,34,13,44.1,106.1,90.6,93.4,86.8,365,170,365,14,13.3,41.2,1,2.9,1.9
Beaty, Matt,607461,36,7.9,38.9,104.8,90,92.2,88.6,430,162,392,15,16.1,41.7,1,2.8,1.9
Castro, Harold,605612,38,11.6,44.7,102.7,89,94.8,83.1,374,159,,14,12.2,36.8,1,2.6,1.9
Vargas, Ildemaro,545121,42,2.1,23.8,103.4,85.3,89.5,85.4,401,116,401,12,12.0,28.6,1,2.4,1.9
Pérez, Roberto,547379,59,-2.5,23.7,109,86,93.4,84,381,109,381,19,11.0,32.2,2,3.4,1.8
Davis, Chris,448801,35,6.2,25.7,105.3,85.8,90.9,81.5,377,136,,8,6.8,22.9,1,2.9,1.8
Kiner-Falefa, Isiah,643396,180,0.8,22.2,106.2,87.2,90.5,85.8,396,119,370,56,14.8,31.1,4,2.2,1.8
Mendick, Danny,664901,83,7.4,30.1,107.7,86.2,89.8,84.4,382,142,364,26,13.2,31.3,2,2.4,1.8
Lin, Tzu-Wei,624407,38,13.7,31.6,102.2,85.5,86.2,84.8,396,165,,5,4.6,13.2,1,2.6,1.8
Quinn, Roman,596451,70,9.7,22.9,108.3,85.8,91.2,82.3,429,132,396,18,8.0,25.7,2,2.9,1.7
Tucker, Cole,657061,80,13.3,25.0,104.9,83.1,87.3,83.5,402,132,402,20,10.2,25.0,2,2.5,1.7
Díaz, Aledmys,649557,46,10.2,37.0,104.7,87.3,93.7,84.1,416,172,384,12,10.3,26.1,1,2.2,1.7
Cameron, Daz,663662,38,9.3,34.2,108.7,87.1,93.5,82.8,406,166,,10,8.5,26.3,1,2.6,1.7
Bemboom, Anthony,621532,38,11.8,36.8,104.5,86.7,91.8,82.3,417,165,388,11,12.0,28.9,1,2.6,1.7
Avila, Alex,488671,27,12.6,51.9,106.2,85.3,95.5,66.5,405,187,405,11,11.7,40.7,1,3.7,1.6
Starling, Bubba,605490,33,8.1,36.4,109.4,84.2,88.1,81,365,139,365,10,7.9,30.3,1,3.0,1.6
Espinal, Santiago,669289,46,14.5,45.7,104.4,87.3,91.1,81.4,372,178,,13,10.0,28.3,1,2.2,1.5
Guillorme, Luis,641645,41,10.7,46.3,103.6,89.8,92.1,87.8,387,161,,13,10.7,31.7,1,2.4,1.5
Barrero, Jose,676480,41,7.7,31.7,107.8,86.6,87,88.7,407,149,,15,10.4,36.6,1,2.4,1.5
Tapia, Raimel,606132,150,1.8,28.7,107.2,85.3,88.4,84.3,410,126,410,45,11.1,30.0,3,2.0,1.5
Díaz, Yandy,650490,97,-7.9,24.7,113,88.3,92.9,86.1,426,103,385,30,14.7,30.9,2,2.1,1.4
Markakis, Nick,455976,107,9.5,35.5,106.1,89,90.6,89.5,392,157,392,45,19.1,42.1,2,1.9,1.4
Crawford, J.P.,641487,167,11.5,34.1,110.1,85.8,89.3,85.1,420,156,393,52,13.6,31.1,3,1.8,1.3
Torrens, Luis,620443,56,13.9,32.1,107.1,93,96.4,92.5,336,163,336,32,26.9,57.1,1,1.8,1.3
